IDMunicipio,NomeMunicipio,SiglaUF
2001,Cocalinho,MT
2199,Cocalzinho de Goi?s,GO
1073,Cocos,BA
666,Codaj?s,AM
1018,Cod?,MA
1021,Coelho Neto,MA
3548,Coimbra,MG
3070,Coit? do N?ia,AL
2235,Coivaras,PI
726,Colares,PA
13,Colatina,ES
3819,Colina,SP
1031,Colinas,MA
2089,Colinas do Sul,GO
830,Colinas do Tocantins,TO
834,Colm?ia,TO
1948,Colniza,MT
344,Colombo,PR
1591,Colorado,RS
639,Colorado do Oeste,RO
3307,Coluna,MG
1962,Col?der,MT
3884,Col?mbia,SP
2290,Col?nia do Gurgu?ia,PI
2336,Col?nia do Piau?,PI
3091,Col?nia Leopoldina,AL
147,Comendador Levy Gasparian,RJ
3759,Comercinho,MG
1947,Comodoro,MT
2749,Concei??o,PB
3756,Concei??o da Aparecida,MG
21,Concei??o da Barra,ES
3565,Concei??o da Barra de Minas,MG
3414,Concei??o de Ipanema,MG
89,Concei??o de Macabu,RJ
1234,Concei??o do Almeida,BA
2363,Concei??o do Canind?,PI
33,Concei??o do Castelo,ES
1204,Concei??o do Coit?,BA
1155,Concei??o do Jacu?pe,BA
919,Concei??o do Lago-A?u,MA
3247,Concei??o do Mato Dentro,MG
3274,Concei??o do Par?,MG
3667,Concei??o do Rio Verde,MG
3358,Concei??o dos Ouros,MG
3843,Conchas,SP
409,Conc?rdia,SC
755,Conc?rdia do Par?,PA
2721,Condado,PB
1223,Conde,BA
1327,Conde?ba,BA
1592,Condor,RS
1990,Confresa,MT
2777,Congo,PB
3248,Congonhas do Norte,MG
199,Congonhinhas,PR
2048,Conquista D'Oeste,MT
3711,Conselheiro Lafaiete,MG
3223,Conselheiro Pena,MG
1494,Constantina,RS
345,Contenda,PR
3650,Coqueiral,MG
1720,Coqueiro Baixo,RS
3108,Coqueiro Seco,AL
3453,Cora??o de Jesus,MG
1156,Cora??o de Maria,BA
1328,Cordeiros,BA
3841,Cordeir?polis,SP
485,Cordilheira Alta,SC
3588,Cordisburgo,MG
2418,Corea?,CE
2743,Coremas,PB
1893,Corguinho,MS
1074,Coribe,BA
3589,Corinto,MG
3308,Coroaci,MG
1019,Coroat?,MA
3726,Coromandel,MG
1595,Coronel Bicaco,RS
312,Coronel Domingos Soares,PR
2651,Coronel Ezequiel,RN
3707,Coronel Fabriciano,MG
392,Coronel Freitas,SC
2319,Coronel Jos? Dias,PI
2588,Coronel Jo?o Pessoa,RN
1173,Coronel Jo?o S?,BA
3613,Coronel Murta,MG
3398,Coronel Pacheco,MG
1924,Coronel Sapucaia,MS
284,Coronel Vivida,PR
459,Correia Pinto,SC
2328,Corrente,PI
2964,Correntes,PE
1075,Correntina,BA
3009,Cort?s,PE
2182,Corumba?ba,GO
640,Corumbiara,RO
1938,Corumb?,MS
2141,Corumb? de Goi?s,GO
3116,Coruripe,AL
3865,Cosmorama,SP
3830,Cosm?polis,SP
1942,Costa Rica,MS
1067,Cotegipe,BA
1953,Cotrigua?u,MT
1889,Coxim,MS
2784,Coxixola,PB
2488,Crate?s,CE
2558,Crato,CE
